universe_id,stock_code,company_name,board,industry,market_cap_hkd,pb_ratio,listing_status,initial_inclusion_reason,source_id,data_date
UNI-00088,00101.HK,恒隆地产,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00089,00103.HK,首佳科技,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00090,00104.HK,ASIA COMM HOLD,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00091,00105.HK,凯联国际酒店,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00092,00106.HK,朗诗绿色管理,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00093,00107.HK,四川成渝高速公路,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00094,00108.HK,国锐生活,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00095,00110.HK,中国长远,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00096,00111.HK,信达国际控股,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00097,00113.HK,迪生创建,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00098,00114.HK,HERALD HOLD,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00099,00115.HK,钧濠集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00100,00116.HK,周生生,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00101,00117.HK,天利控股集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00102,00118.HK,大同机械,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00103,00119.HK,保利置业集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00104,00120.HK,COSMOPOL INT'L,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00105,00122.HK,鳄鱼恤,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00106,00123.HK,越秀地产,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00107,00124.HK,粤海置地,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00108,00125.HK,新兴光学,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00109,00126.HK,佳宁娜,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
